N,approx_pi,error,execution_time
10,3.2399259889071588,0.09833333531736566,0.0
100,3.151575986923127,0.0099833333333339,0.0
1000,3.142592486923122,0.000999833333328759,0.0
10000,3.1416926519231168,9.99983333236365e-05,0.0029916763305664062
